_id,additional,firstName,lastName,role,fullName,gnd,occupation
651691d696c724dc0090cfc5,,Franz Peter,Schubert,Verwandte,"Schubert, Franz",118610961,Schauspieler
667009efde0d61d6704ea6c4,1899,Herr,Schubert,Verwandte des Karkhan,"Schubert, Herr",1050555945,Schauspieler
6504166ba47588ad6024af80,,Laura,Schuberth,"Benjamine, dessen Tochter","Schubert, Laura",1329696506,Schauspieler
665ecbbbf11595c1239e0b24,,Herr,Schuberth,Verwandte des Karthan,Herr Schuberth,,Schauspieler
6504166ba47588ad6024af8f,,Regina,Schuller,Cäcilie,"Lieder, Regina",130228044,Schauspieler
6504166ba47588ad6024af98,Stadttheater zu Hamburg,Rosa von,Schultzendorff,"Ulrike, seine Tochter","Schultzendorff, Rosa von",130149756,Schauspieler
6504166ba47588ad6024afa2,,Herr,Schulz,Bernardo,"Schulz, Herr",1050555414,Schauspieler
6504166ba47588ad6024af99,1900-1929,Antonie,Schulz,"Mad. Pavoni, eine Tänzerin","Schulz, Antonie",1140534181,Schauspieler
6504166ba47588ad6024afa0,,August,Schulz,"Curio, Kavalier des Herzogs",August Schulz,,Schauspieler
6504166ba47588ad6024afae,,Friedel,Schuster,Sybil Hull,"Schuster, Friedel",1062037871,Schauspieler
6504166ba47588ad6024bc27,,Werner,Schwab,,"Schwab, Werner",119355221,Schauspieler
6504166ba47588ad6024afa5,"verehl. Lisatz, 1909-1936",Käthe,Schwab,Die Hausfrau,Käthe Schwab,,Schauspieler
6504166ba47588ad6024afa8,1937 als Gast,Ellen,Schwannecke,"Rautendelein, ein elbisches Wesen","Schwanneke, Ellen",117351407,Schauspieler
650c2714f3fbb1ad9d22e790,,Viktor,Schwanneke,Von Feldt,"Schwanneke, Viktor",117351415,Schauspieler
6504166ba47588ad6024afb3,,Karl,Schwarz,Diener des Marschalls,"Schwarz, Karl",1025533496,Schauspieler
6504166ba47588ad6024afaa,,Adolf,Schwarz,Ein Arbeiter,Adolf Schwarz,,Schauspieler
6504166ba47588ad6024afc5,,Heinrich,Schweiger,"Imre Madách: ""Die Tragödoe des Menschen"" Vier Szenen. Mit","Schweiger, Heinrich",136105122,Schauspieler
6504166ba47588ad6024afc6,1836-1894,Christine,Schweigert,Gertrude,"Schweigert, Christine",11739758X,Schauspieler
6504166ba47588ad6024afc7,,Pauline,Schweighofer,Vilma,"Schweighofer, Pauline",1019536640,Schauspieler
6504166ba47588ad6024b564,,Fritz,Schwiefert,,"Schwiefert, Fritz",117430641,Schauspieler
6504166ba47588ad6024afd3,1937,Teddy,Schwinner,Peterchens Sternchen,Teddy Schwinner,,Schauspieler
6504166ba47588ad6024aee3,,Lina,Schäfer,Viola,"Schäfer, Lina",11709871X,Schauspieler
651691d696c724dc0090cf97,,Florian,Schäfer,Viola,Florian Schäfer,,Schauspieler
663fbb882ab4d9095f3c9932,vom Hoftheater zu Cassel,Frln.,Schäfer,"Johanna, seine Tochter",Frln. Schäfer,,Schauspieler
6504166ba47588ad6024aee7,1889-1892,Lothar,Schäffer,Ein Gärtner,"Schäffer, Lothar",1329685121,Schauspieler
6504166ba47588ad6024af4a,,Charlotte,Schöffel,"Ernst, deren Kind",Charlotte Schöffel,,Schauspieler
6504166ba47588ad6024af5e,,Leopold,Schönberger,2. Bürger,"Schoenberger, Guido",116860308,Schauspieler
6504166ba47588ad6024af60,1836-1902,Hermann,Schöne,Rat Zabern,Hermann Schöne,,Schauspieler
6504166ba47588ad6024af64,"1826-1903, Hofschauspielerin, geb. Neumann",Louise,Schönfeld,"Die Rätin, seine Frau","Schönfeld, Louise",116868112,Schauspieler
65688ab40080658502198906,,Karl,Schönherr,,"Schönherr, Karl",118758926,Schauspieler
6504166ba47588ad6024af6b,,Elise,Schönhoff,Ida,"Haase, Elise",116348453,Schauspieler
6504166ba47588ad6024af6c,,Alexis,Schönlank,Lucianus,"Schönlank, Alexis",130147400,Schauspieler
66488cfa2ab4d9095ff707eb,Gast aus Berlin,Clara,Schüler,"Jeanne, ihre Tochter","Formes, Clara",1327517507,Schauspieler
6504166ba47588ad6024b55d,,Adolf,Schütz,,"Schütz, Adolf",130149225,Schauspieler
6504166ba47588ad6024afb9,1750-1800,Friedrich Wilhelm,Schütz,Marinelli,"Schütz, Friedrich Wilhelm",1037047656,Schauspieler
6504166ba47588ad6024afa4,1927-1932,Friedrich,Schütze,Haltefest,"Schütze, Friedrich",1066479690,Schauspieler
6504166ba47588ad6024b566,,Augustin Eugène,Scribe,,"Scribe, Eugène",118612425,Schauspieler
691204fedd3949980ba0dc2a,,Helen,Seamon,Children,"Seamon, Helen",1232060518,Schauspieler
6504166ba47588ad6024afd9,1830-1897,Marie,Seebach,Virginie von Blossac,"Seebach, Marie",118760394,Schauspieler
663a24b82ab4d9095f11f337,vom Stadttheater zu Hamburg,Frln.,Seebach,"Ophelia, Tochter des Polonius",Frln. Seebach,,Schauspieler
6504166ba47588ad6024afbd,,Wilhelmine,Seebach,"Klärchen, Egmonts Geliebte","Seebach, Wilhelmine",117440477,Schauspieler
6504166ba47588ad6024afc9,,Karl,Seibold,Ein Arbeiter,Karl Seibold,,Schauspieler
6504166ba47588ad6024afcc,,Alma,Seidler,Es lesen,"Seidler, Alma",117464597,Schauspieler
6504166ba47588ad6024afd8,,Karoline,Seitler,Jeanne,"Seitler, Karoline",1025559398,Schauspieler
6504166ba47588ad6024afe8,,Fräulein,Semler,Amalie von Edelreich,Fräulein Semler,,Schauspieler
6611b0e921b0fcd2e6f1798a,,Herr,Sendelmann,Horatio,Herr Sendelmann,,Schauspieler
6504166ba47588ad6024afea,1874-1941,Tini,Senders,Altes Weib,"Senders, Tini",1061383741,Schauspieler
6504166ba47588ad6024afdc,1872-1946,Armin,Seydelmann,Plakatfiguren,"Seydelmann, Armin",117475556,Schauspieler
653f81e20080658502974af3,,Ignaz Ritter von,Seyfried,Musik,"Seyfried, Ignaz Xaver von",118938533,Schauspieler
6504166ba47588ad6024b572,,William,Shakespeare,,"Shakespeare, William",118613723,Schauspieler
66cd88c4e2524e48ba3f9b7c,,Bernard,Shaw,,"Shaw, Bernard",118642375,Schauspieler
69120b30dd3949980ba24db1,,Patty,Siddons,Children,Patty Siddons,,Schauspieler
6504166ba47588ad6024afe7,1872-1953,Hans,Siebert,Regie,"Siebert, Hans",117354457,Schauspieler
6504166ba47588ad6024aff3,1899-1965,Reinhold,Siegert,Scheremtjew,"Siegert, Reinhold",1061667332,Schauspieler
6504166ba47588ad6024b8a5,Pseud. f. Geza Silberer,,Sil-Vara,,Sil-Vara,117383392,Schauspieler
6504166ba47588ad6024affe,,Julius,Simon,Odoardo,Julius Simon,,Schauspieler
6504166ba47588ad6024b011,1909-1961,Albin,Skoda,"SIEBZIG JAHRE IN SIEBEN MINUTEN oder DER RHYTHMUS EINES LEBENS. das letzte Kapitel aus der soebenerschienenen Selbstbiographie ""Das Wunder des Überlebens""","Skoda, Albin",118614908,Schauspieler
6504166ba47588ad6024affd,,Gustav,Slanar,"Laurent, Diener",Gustav Slanar,,Schauspieler
66603b7af11595c123a89dcf,,Gisela,Smeschkall,Page,Gisela Smeschkall,,Schauspieler
6504166ba47588ad6024b00e,Lore,Eleonore,Solvis,"Amalie, seine Tochter",Eleonore Solvis,,Schauspieler
6504166ba47588ad6024b00f,"1852-1913, Hofschauspieler",Rudolf,Sommer,Marcellus,Rudolf Sommer,,Schauspieler
6504166ba47588ad6024b8b0,1834-1909,Adolf,Sonnenthal,"Baron Ringelstern, Gutsbesitzer","Sonnenthal, Adolf von",119343207,Schauspieler
6504166ba47588ad6024b8b3,,,Sophokles,,Sophokles,1122128223,Schauspieler
6504166ba47588ad6024b027,,Georg,Soulek,Regieassistenz,Georg Soulek,,Schauspieler
6504166ba47588ad6024bc47,,Hilde,Spiel,Eleonore,"Spiel, Hilde",118751980,Schauspieler
6504166ba47588ad6024b02f,1883-1896,Melanie,Spielmann,Mädchen,Melanie Spielmann,,Schauspieler
6504166ba47588ad6024b032,,Henriette,Spiller,Fritz,Henriette Spiller,,Schauspieler
66cf5439ee1bc6f9d4b51495,,Walter,Stadler,Beleuchtungseinrichtung,"Stadler, Walter",125939167,Schauspieler
6504166ba47588ad6024b021,1937-1937,Hans,Stahl,Chor der Burschen,"Stahl, Hans",1033314919,Schauspieler
67c1844930450db5f64effef,,Emil,Staiger,mit,Emil Staiger,,Schauspieler
690c606b52365fce4c987f58,,John,Standing,"Verwandte von Titus, Priester, Richter, Soldaten, Jäger, Bürger und Goten","Standing, John",173958621,Schauspieler
6504166ba47588ad6024b026,,Christian,Stange,Ein stummer Sänger,Christian Stange,,Schauspieler
6504166ba47588ad6024b033,,TraudI,Stark,Pepi,TraudI Stark,,Schauspieler
654cfb9f0080658502b19d01,,,Statistin,Belinde,Statistin,,Schauspieler
651691d696c724dc0090ca7e,,Edd,Stavjanik (Sztajovanik),Polizeisergeant,"Stavjanik, Edd",102709273X,Schauspieler
654aa1840080658502b03b16,,Karoline (Caroline),"Steger (Stoeger, Steeger)",Fritz,"Steger, Karoline",130157279,Schauspieler
6504166ba47588ad6024b054,1771-1820,Matthäus,Stegmayer,Friesshardt,"Stegmayer, Matthaeus",117230294,Schauspieler
6504166ba47588ad6024b03c,1744-1779,Konrad,Steigentesch,Sternhof,"Steigentesch, Conrad",123901766,Schauspieler
6504166ba47588ad6024b57b,,Irma,Stein,Deutsche Bearbeitung,"Stein-Firner, Irma",1047522934,Schauspieler
6504166ba47588ad6024b03d,,Carl,Stein,Francisco,"Stein, Carl",1046870548,Schauspieler
6504166ba47588ad6024b049,,Hertha,Stein,Mademoiselle Hélouin,"Stein, Hertha",117242179,Schauspieler
6739f31a8ed6d6efd2355b5d,,Frl.,Stein,Gülnare,"Stein, Frl.",1050518918,Schauspieler
6504166ba47588ad6024b045,,Hedwig,Stein,Viola,Hedwig Stein,,Schauspieler
658f087c51cd38b410089d5b,,Fred,Steinbacher,Gartenknecht,"Steinbacher, Fred",106181839X,Schauspieler
6651f1272ab4d9095f2fc1b7,,Herr,Steinbauer,Ausrufer,Herr Steinbauer,,Schauspieler
6504166ba47588ad6024b05e,"Bearb., Autor",Alexander,Steinbrecher,Musik,"Steinbrecher, Alexander",118753142,Schauspieler
6504166ba47588ad6024b050,1897-1974,Felix,Steinböck,"Aus Gesprächen Tagores mit Albert Einstein, Romain Rolland, H. G. Wells","Steinböck, Felix",1025314409,Schauspieler
6504166ba47588ad6024b05f,,Bernd,Steiner,Bühnenbild,"Steiner, Bernd",1013912535,Schauspieler
6504166ba47588ad6024beba,,A. Christian,Steiof,Kostüme,"Steiof, A. Christian",130470310X,Schauspieler
671613801154ae2a37b101c5,,Moana,Stemberger,Kostüme,"Stemberger, Moana",1062214781,Schauspieler
6504166ba47588ad6024b066,1960-1971,Wolfgang,Stendar,Vasanta,"Stendar, Wolfgang",117270628,Schauspieler
6504166ba47588ad6024b069,,Lilly,Stepanek,"Alitta, dessen Urenkelin","Stepanek, Lilly",117257974,Schauspieler
652e30a9e6964d9d939ca318,1733-1798,"Christian Gottlieb, d.Ä.",Stephanie,Deutsch,"Stephanie, Christian Gottlob",104266821,Schauspieler
6504166ba47588ad6024b580,1741-1800,"Johann Gottlieb, d.J.",Stephanie,Rode,"Stephanie, Gottlieb",119545799,Schauspieler
6504166ba47588ad6024b056,1751-1802,Anna Maria,Stephanie,Frau von Sternhof,"Stephanie, Anna",121079327X,Schauspieler
690c5fb252365fce4c987e3e,,Patrick,Stephens,Dritter Gote,Patrick Stephens,,Schauspieler
6504166ba47588ad6024b05c,,Theodor,Sternberger,4. Freiwilliger,Theodor Sternberger,,Schauspieler
6504166ba47588ad6024bc56,,Carl,Sternheim,,"Sternheim, Carl",118617958,Schauspieler
6504166ba47588ad6024b06b,,Lina,Stettner,Diane von Saintrailles,Lina Stettner,,Schauspieler
6504166ba47588ad6024b06c,geb. Crelinger,Auguste,Stich,Donna Diana,"Crelinger, Auguste",116718854,Schauspieler
